proteinAccession	N_experiment	fold change	metric	P-value	BH adjusted P-value	LogFC	LogMetric	Gene	Description
A6NJA2	4	1.29761140533129	1.29761140533129	0.0269181069610398	0.188934074468229	0.375858405264755	0.375858405264755	USP14 	A6NJA2_HUMAN Ubiquitin carboxyl-terminal hydrolase OS=Homo sapiens OX=9606 GN=USP14 PE=1 SV=2
A6NKE1	2	1.40346226666243	1.40346226666243	0.174534874077922	0.426633315748002	0.48899027622608	0.48899027622608	TRAPPC3 	A6NKE1_HUMAN Trafficking protein particle complex subunit 3 OS=Homo sapiens OX=9606 GN=TRAPPC3 PE=1 SV=1
A6NKZ2	1	0.815201739385126	0.815201739385126	0.189344357461836	0.439809080999649	-0.294770965121101	-0.294770965121101	RENBP 	A6NKZ2_HUMAN GlcNAc 2-epimerase OS=Homo sapiens OX=9606 GN=RENBP PE=1 SV=2
A6NL93	1	1.0734057138343	1.0734057138343	0.66409148079538	0.814957000371303	0.102195472838362	0.102195472838362	HMGN1 	A6NL93_HUMAN Non-histone chromosomal protein HMG-14 OS=Homo sapiens OX=9606 GN=HMGN1 PE=1 SV=1
A6NLB2	1	1.13047507796845	1.13047507796845	0.985720546610933	0.992853597553239	0.176929187323721	0.176929187323721	NA	NA
A6NLG9	6	0.935932664290848	0.935932664290848	0.0123861380434486	0.12657820410121	-0.095523356091643	-0.095523356091643	NA	A6NLG9_HUMAN Biglycan OS=Homo sapiens OX=9606 PE=2 SV=1
A6NLT0	2	1.30169594848592	1.30169594848592	0.672745684648964	0.820171948683341	0.380392501623259	0.380392501623259	NA	NA
A6NM98	6	1.20687408464178	1.20687408464178	0.831933998705418	0.912302736506757	0.271275164958823	0.271275164958823	NA	NA
A6NN60	6	1.24427945343182	1.24427945343182	0.667154956596409	0.816500682430285	0.315310537561125	0.315310537561125	NA	NA
A6NNE8	6	1.12538216583838	1.12538216583838	0.599960780887207	0.772275525703204	0.170415006005535	0.170415006005535	NA	NA
A6NNK5	2	2.6006120128284	2.6006120128284	0.125869144149415	0.3694379006073	1.37885117862698	1.37885117862698	TP53BP1 	A6NNK5_HUMAN TP53-binding protein 1 OS=Homo sapiens OX=9606 GN=TP53BP1 PE=1 SV=2
A7MAP0	5	1.07858824829805	1.07858824829805	0.344191278026125	0.588027009852451	0.109144220238242	0.109144220238242	NA	NA
A7UNU7	2	1.00338845084271	1.00338845084271	0.215852451760912	0.46944756856693	0.00488023766587491	0.00488023766587491	NA	NA
A8K1H6	6	0.998552155961524	0.998552155961524	0.0866447104085061	0.320226305660392	-0.00209031100186745	-0.00209031100186745	NA	NA
A8K1R6	5	1.27521351532299	1.19019928096812	0.482080280767545	0.691654323487285	0.350738824894384	0.251203151343464	NA	NA
A8K3Z3	9	1.18812318212513	1.18812318212513	0.677779947709587	0.823147409459686	0.24868441949576	0.24868441949576	NA	NA
A8K4L9	7	1.12155913326225	1.12155913326225	0.607965373331015	0.77742451596822	0.16550568731244	0.16550568731244	NA	NA
A8K7I4	10	1.52524003367612	1.52524003367612	0.4745823090414	0.686329414888876	0.609036303753391	0.609036303753391	CLCA1 	CLCA1_HUMAN Calcium-activated chloride channel regulator 1 OS=Homo sapiens OX=9606 GN=CLCA1 PE=1 SV=3
A8MQ60	7	0.933719966252969	0.933719966252969	0.0137808253948121	0.133217360709547	-0.0989381615207011	-0.0989381615207011	NA	NA
A8MRR8	7	0.429723874294743	0.429723874294743	8.59030699383089e-05	0.00658493482818698	-1.21851816331932	-1.21851816331932	NA	NA
A8MU08	5	1.55676983633741	1.55676983633741	0.00566553362147674	0.0854011746608792	0.638555662130417	0.638555662130417	NA	NA
A8MUH2	3	1.31176677714542	1.31176677714542	0.256731308763044	0.508183127771004	0.391511241781533	0.391511241781533	ATP5PF 	A8MUH2_HUMAN ATP synthase-coupling factor 6, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5PF PE=1 SV=1
A8MUS8	2	1.17034402352618	1.17034402352618	0.70255779045588	0.837802480952378	0.226932673467693	0.226932673467693	NA	NA
A8MUT5	10	1.29215677069534	1.29215677069534	0.178092893611616	0.429624849653761	0.3697811153755	0.3697811153755	NA	NA
A8MUW5	9	1.17775064734408	1.17775064734408	0.765612669074297	0.871293275299156	0.236034124975341	0.236034124975341	NA	NA
A8MV37	5	2.00024407122144	2.00024407122144	0.0452897489249294	0.242051028641421	1.00017604942847	1.00017604942847	NA	NA
A8MVA9	6	1.07809824970926	1.07809824970926	0.365310261609295	0.605439598494358	0.108488660381112	0.108488660381112	NA	NA
A8MVD5	8	1.39418036679606	1.39418036679606	0.135885686925914	0.382352126190205	0.479417216478483	0.479417216478483	NA	NA
A8MVM2	6	1.37508652994023	1.37508652994023	0.331845723871836	0.576857572167104	0.45952240582842	0.45952240582842	NA	NA
A8MVU1	2	0.601997095593017	0.601997095593017	0.0196435072102278	0.160055397873812	-0.732171568340357	-0.732171568340357	NCF1C 	NCF1C_HUMAN Putative neutrophil cytosol factor 1C OS=Homo sapiens OX=9606 GN=NCF1C PE=5 SV=1
A8MW06	9	4.93489829526575	4.93489829526575	0.00338715935191654	0.0640122562895033	2.30302035207221	2.30302035207221	NA	NA
A8MWA7	2	1.04063734232666	1.04063734232666	0.424718728284688	0.648864447097095	0.0574673831584304	0.0574673831584304	NA	NA
A8MX47	2	1.03508242434502	1.03508242434502	0.334246988410846	0.57916987132055	0.0497456551247092	0.0497456551247092	NA	NA
A8MXP9	10	1.31572430896727	1.31572430896727	0.168746726372732	0.419773959322858	0.395857224823182	0.395857224823182	MATR3 	A8MXP9_HUMAN Matrin-3 OS=Homo sapiens OX=9606 GN=MATR3 PE=1 SV=1
A8MZ73	10	1.54159257549334	1.54159257549334	0.0233895991073438	0.1740065240289	0.624421528559496	0.624421528559496	NA	NA
A8MZ76	10	1.39828695520807	1.39828695520807	0.178623291717322	0.429659597212145	0.483660459692978	0.483660459692978	NA	NA
B0FLL2	4	0.883510644558777	0.883510644558777	0.0267093842548172	0.187885679685831	-0.178680578379118	-0.178680578379118	PFKFB2 	B0FLL2_HUMAN 6-phosphofructo-2-kinase/fructose-2, 6-bisphosphatase 2 transcript variant 3 OS=Homo sapiens OX=9606 GN=PFKFB2 PE=2 SV=1
B0I1T2	6	0.931907691921729	0.880135042370522	0.112388008273464	0.35291287053093	-0.101741035932795	-0.184203196124767	MYO1G 	MYO1G_HUMAN Unconventional myosin-Ig OS=Homo sapiens OX=9606 GN=MYO1G PE=1 SV=2
B0QY62	10	0.987103631664548	0.987103631664548	0.0215428977144139	0.16812247217641	-0.0187265400536045	-0.0187265400536045	NA	NA
B0QY89	7	1.17297951847722	1.17297951847722	0.849570260528871	0.921945375284244	0.230177822531538	0.230177822531538	EIF3L 	B0QY89_HUMAN Eukaryotic translation initiation factor 3 subunit L OS=Homo sapiens OX=9606 GN=EIF3L PE=1 SV=1
B0QYF8	7	1.5417002221124	1.5417002221124	0.222060815851657	0.474474190063058	0.624522265825623	0.624522265825623	MB 	B0QYF8_HUMAN Myoglobin (Fragment) OS=Homo sapiens OX=9606 GN=MB PE=1 SV=1
B0QYI1	3	0.950694156042485	0.950694156042485	0.121443293081618	0.365252963657826	-0.072946802726736	-0.072946802726736	TBC1D22A 	B0QYI1_HUMAN TBC1 domain family member 22A OS=Homo sapiens OX=9606 GN=TBC1D22A PE=1 SV=1
B0UX83	9	1.28747314735711	1.28747314735711	0.412816632598685	0.642305751040126	0.36454234252597	0.36454234252597	NA	NA
B0UYX3	2	0.843396269126695	0.843396269126695	0.100668671592131	0.339007106303075	-0.245717455205721	-0.245717455205721	NA	NA
B0V043	10	1.20566542471991	1.20566542471991	0.902119486647105	0.951827270460538	0.26982961116414	0.26982961116414	NA	NA
B0V2C8	4	0.857232858464618	0.857232858464618	0.011304456573765	0.121715160830793	-0.222240944084974	-0.222240944084974	NA	NA
B1AH87	9	1.85728028424999	1.85728028424999	0.000666512034399729	0.0252675909567945	0.893191550429177	0.893191550429177	TSPO 	B1AH87_HUMAN Peripheral-type benzodiazepine receptor (Fragment) OS=Homo sapiens OX=9606 GN=TSPO PE=1 SV=1
B1AH89	10	1.3032737586057	1.3032737586057	0.200576974120421	0.453680894303818	0.382140160421316	0.382140160421316	NA	NA
B1AHA8	1	0.905875482327664	0.905875482327664	0.354433909027658	0.595836717486485	-0.142615337523303	-0.142615337523303	HMOX1 	B1AHA8_HUMAN Heme oxygenase (biliverdin-producing) (Fragment) OS=Homo sapiens OX=9606 GN=HMOX1 PE=1 SV=1
B1AHD1	8	1.14912487560794	1.14912487560794	0.597639429500953	0.770915898160255	0.200535584434051	0.200535584434051	SNU13 	B1AHD1_HUMAN Ribonucloprotein OS=Homo sapiens OX=9606 GN=SNU13 PE=1 SV=1
B1AHL2	9	1.07159679352557	1.07159679352557	0.145374777702057	0.394499664651403	0.0997621694100629	0.0997621694100629	FBLN1 	B1AHL2_HUMAN Fibulin-1 OS=Homo sapiens OX=9606 GN=FBLN1 PE=1 SV=1
B1AJY5	5	1.32894209373137	1.32894209373137	0.116917956198796	0.358454034234662	0.410278243134299	0.410278243134299	PSMD10 	B1AJY5_HUMAN 26S proteasome non-ATPase regulatory subunit 10 OS=Homo sapiens OX=9606 GN=PSMD10 PE=1 SV=1
B1AK13	4	1.17470844630158	1.17470844630158	0.671105432696512	0.819028759191739	0.232302735285365	0.232302735285365	HMGCL 	B1AK13_HUMAN 3-hydroxy-3-methylglutarate-CoA lyase OS=Homo sapiens OX=9606 GN=HMGCL PE=2 SV=1
B1AK40	5	1.17550426988802	1.17550426988802	0.825052210519738	0.908260397287508	0.233279779429117	0.233279779429117	NA	NA
B1AK87	7	1.09100777625976	1.09100777625976	0.327562811960798	0.573189652438865	0.125661384641732	0.125661384641732	CAPZB 	B1AK87_HUMAN F-actin-capping protein subunit beta OS=Homo sapiens OX=9606 GN=CAPZB PE=1 SV=2
B1AKJ5	3	1.56976382907899	1.56976382907899	0.537403919676227	0.725283354395692	0.650547522017468	0.650547522017468	NA	NA
B1AKZ5	5	1.39764409729778	1.39764409729778	0.254631528553095	0.506502350059325	0.482997032792888	0.482997032792888	PEA15 	B1AKZ5_HUMAN Astrocytic phosphoprotein PEA-15 OS=Homo sapiens OX=9606 GN=PEA15 PE=1 SV=1
B1ALD9	8	0.416118832450629	0.416118832450629	2.13940443505979e-10	1.69307118479544e-07	-1.26493251242079	-1.26493251242079	POSTN 	B1ALD9_HUMAN Periostin OS=Homo sapiens OX=9606 GN=POSTN PE=1 SV=1
B1ALK7	4	1.06170653742724	1.06170653742724	0.334273686590632	0.57916987132055	0.0863850509771974	0.0863850509771974	ARHGEF7 	B1ALK7_HUMAN Rho guanine nucleotide exchange factor 7 OS=Homo sapiens OX=9606 GN=ARHGEF7 PE=1 SV=1
B1AUU8	1	1.20635561873907	1.20635561873907	0.484095821965093	0.692960012372408	0.2706552586174	0.2706552586174	EPS15 	B1AUU8_HUMAN Epidermal growth factor receptor substrate 15 OS=Homo sapiens OX=9606 GN=EPS15 PE=1 SV=1
B1AVU8	4	1.19383018537543	1.19383018537543	0.536888247957957	0.72483537461338	0.255597637155411	0.255597637155411	NA	NA
B1B0M1	5	1.03469730142442	1.03469730142442	0.218149729675332	0.470996487959741	0.0492087719702587	0.0492087719702587	NA	NA
B2REB8	2	2.80335107211975	2.80335107211975	0.013431338140102	0.132658037074861	1.48715242874079	1.48715242874079	NA	NA
B2RUY3	3	0.757310179775726	0.757310179775726	0.00875576307489139	0.109063092730862	-0.401043773316981	-0.401043773316981	NA	NA
B3KNJ1	1	1.76742730808053	1.76742730808053	0.388501312819286	0.624361029493229	0.821650880138872	0.821650880138872	NA	NA
B3KNR9	4	0.895401997873616	0.895401997873616	0.0301650844225382	0.199139884754003	-0.159392557616262	-0.159392557616262	NA	B3KNR9_HUMAN Protein-ribulosamine 3-kinase OS=Homo sapiens OX=9606 PE=2 SV=1
B3KPQ4	1	1.13472512653282	1.13472512653282	0.938811766062145	0.969904980256569	0.182342864375344	0.182342864375344	NA	NA
B3KQT9	10	1.24766787415997	1.24766787415997	0.668698143689876	0.817754515133489	0.319233943758042	0.319233943758042	NA	B3KQT9_HUMAN Protein disulfide-isomerase OS=Homo sapiens OX=9606 PE=2 SV=1
B3KRJ7	5	1.13719006894632	1.13719006894632	0.472990930780756	0.685398393859685	0.185473405161796	0.185473405161796	NA	B3KRJ7_HUMAN cDNA FLJ34419 fis, clone HEART2008257, highly similar to Aminomethyltransferase, mitochondrial OS=Homo sapiens OX=9606 PE=2 SV=1
B3KRY5	7	0.721100822366979	0.721100822366979	1.65357374021838e-06	0.000373884833904377	-0.471727107599142	-0.471727107599142	NA	B3KRY5_HUMAN cDNA FLJ35087 fis, clone PLACE6005546, highly similar to Polymerase I and transcript release factor OS=Homo sapiens OX=9606 PE=2 SV=1
B3KSH1	8	1.10185331328201	1.10185331328201	0.304352785645901	0.551318307846695	0.139932174647311	0.139932174647311	EIF3F 	B3KSH1_HUMAN Eukaryotic translation initiation factor 3 subunit F OS=Homo sapiens OX=9606 GN=EIF3F PE=2 SV=1
B3KW38	4	0.988938252945454	0.988938252945454	0.159505014467801	0.410331672732892	-0.0160476496869693	-0.0160476496869693	NA	B3KW38_HUMAN cDNA FLJ42082 fis, clone TCERX2000171, highly similar to CLAUDIN-4 OS=Homo sapiens OX=9606 PE=2 SV=1
B3KXS5	5	1.70184464124998	1.70184464124998	0.000149268885126143	0.00947895712841795	0.767099341648798	0.767099341648798	LONP1 	B3KXS5_HUMAN Lon protease homolog, mitochondrial OS=Homo sapiens OX=9606 GN=LONP1 PE=2 SV=1
B3KXW5	9	1.29740780445552	1.29740780445552	0.192509738593291	0.4425487127938	0.375632022374572	0.375632022374572	NA	B3KXW5_HUMAN AP-1 complex subunit gamma OS=Homo sapiens OX=9606 PE=2 SV=1
B4DE10	1	1.32857885214855	1.32857885214855	0.48269547876986	0.691703276616565	0.409883855399177	0.409883855399177	NA	NA
B4DE88	1	0.94635427358589	0.94635427358589	0.216894066785029	0.470742659175872	-0.0795477283785287	-0.0795477283785287	NA	B4DE88_HUMAN cDNA FLJ55049, highly similar to Serine/threonine-protein kinase PAK 4 OS=Homo sapiens OX=9606 PE=2 SV=1
B4DEK4	3	0.976825922584083	0.976825922584083	0.16405413865585	0.415442148018853	-0.0338266084366694	-0.0338266084366694	NA	NA
B4DER1	7	1.14975327412485	1.14975327412485	0.72917998517322	0.850016292788005	0.201324306051796	0.201324306051796	LARS1 	B4DER1_HUMAN Leucyl-tRNA synthetase OS=Homo sapiens OX=9606 GN=LARS1 PE=1 SV=1
B4DFQ6	4	0.770991057587052	0.770991057587052	0.00541456298357054	0.0828009619540703	-0.375213967885355	-0.375213967885355	NA	NA
B4DFR2	9	1.12549289989535	1.12549289989535	0.438329396113094	0.659814835551295	0.170556955665389	0.170556955665389	NA	B4DFR2_HUMAN cDNA FLJ59194, moderately similar to Dynein light chain 2A, cytoplasmic OS=Homo sapiens OX=9606 PE=2 SV=1
B4DG34	2	1.16720167223059	1.16720167223059	0.688612561762347	0.830084944500651	0.223053855295319	0.223053855295319	NA	NA
B4DG42	6	102.986244676207	109.044259068925	0.364326899972875	0.604759728297921	6.6863078469634	6.76877000715538	NA	B4DG42_HUMAN cDNA FLJ53753, highly similar to Myeloid-associated differentiation marker OS=Homo sapiens OX=9606 PE=2 SV=1
B4DG80	3	1.00588512738232	1.00588512738232	0.217185554669776	0.470853081790421	0.0084655580077458	0.0084655580077458	NA	NA
B4DGX2	4	0.811247706856944	0.811247706856944	0.00138290286055663	0.0407880489994872	-0.301785599816622	-0.301785599816622	NA	NA
B4DH44	3	0.867314111956615	0.867314111956615	0.00557671885353428	0.0846671632175672	-0.205373511254399	-0.205373511254399	NA	B4DH44_HUMAN cDNA FLJ52538, highly similar to Dual specificity mitogen-activated proteinkinase kinase 4 OS=Homo sapiens OX=9606 PE=2 SV=1
B4DH52	9	1.13334093375834	1.13334093375834	0.630291568028886	0.792842423443449	0.180581920693614	0.180581920693614	NA	B4DH52_HUMAN cDNA FLJ55916, highly similar to General transcription factor II-I OS=Homo sapiens OX=9606 PE=2 SV=1
B4DH53	7	62.772061181053	70.1570095552946	0.210174785789506	0.464438592961034	5.97205067686653	6.13251534905978	NA	NA
B4DHE8	6	1.64488814013769	1.64488814013769	0.0514694541898377	0.255226601460219	0.717989477482839	0.717989477482839	MSI2 	B4DHE8_HUMAN RNA-binding protein Musashi homolog 2 OS=Homo sapiens OX=9606 GN=MSI2 PE=1 SV=1
B4DHQ2	4	1.21235751999862	1.21235751999862	0.884351991704636	0.942170839720156	0.277815207283531	0.277815207283531	NA	NA
B4DHQ9	2	0.966908607229345	0.966908607229345	0.31406206293561	0.561203371773649	-0.0485485631254322	-0.0485485631254322	NA	B4DHQ9_HUMAN cDNA FLJ51850, highly similar to T-cell immunomodulatory protein OS=Homo sapiens OX=9606 PE=2 SV=1
B4DHY4	9	1.16607128361825	1.16607128361825	0.553158837931355	0.738001448225398	0.221655985261469	0.221655985261469	NA	B4DHY4_HUMAN Annexin OS=Homo sapiens OX=9606 PE=2 SV=1
B4DIF2	2	1.35099977026826	1.35099977026826	0.417928922737192	0.645562057290627	0.434027429339489	0.434027429339489	NA	NA
B4DII8	3	1.28600366079981	1.28600366079981	0.389148216422002	0.624469556027848	0.362894749516727	0.362894749516727	NA	NA
B4DIT7	6	0.884964117137964	0.884964117137964	0.0018458560167725	0.0476984262946396	-0.176309135823505	-0.176309135823505	NA	B4DIT7_HUMAN cDNA FLJ58187, highly similar to Protein-glutamine gamma-glutamyltransferase 2 OS=Homo sapiens OX=9606 PE=2 SV=1
B4DIW5	3	1.20272043601626	1.20272043601626	0.762823524282384	0.869541903534709	0.266301337073897	0.266301337073897	NA	NA
B4DJB1	3	0.858797818595116	0.858797818595116	0.0357158099706746	0.217838914185299	-0.219609568229574	-0.219609568229574	NA	B4DJB1_HUMAN AP-2 complex subunit mu OS=Homo sapiens OX=9606 PE=2 SV=1
B4DJE9	3	1.00526866233931	1.00526866233931	0.246597712388379	0.498701578114866	0.00758111934091552	0.00758111934091552	NA	NA
B4DJP7	1	1.28941885008028	1.28941885008028	0.793889284612796	0.890365466941295	0.366720979586428	0.366720979586428	NA	NA
B4DJP9	7	1.17852088884807	1.17852088884807	0.769682920408696	0.873692061359837	0.236977330052181	0.236977330052181	NA	NA
B4DJV2	9	1.1637882833862	1.1637882833862	0.844281522055904	0.918883671331602	0.218828626725405	0.218828626725405	CS 	B4DJV2_HUMAN Citrate synthase OS=Homo sapiens OX=9606 GN=CS PE=1 SV=1
B4DK30	7	1.12379392063941	1.12379392063941	0.42957658698809	0.65204887922574	0.168377500923652	0.168377500923652	NA	NA
B4DKK7	5	1.11109490815364	1.11109490815364	0.536670228873271	0.72483537461338	0.151982054957899	0.151982054957899	NA	NA
B4DKQ0	2	0.752999722573603	0.752999722573603	0.00752590342378945	0.101160285724015	-0.409278761519722	-0.409278761519722	NA	B4DKQ0_HUMAN cDNA FLJ51236, highly similar to SH3 protein expressed in lymphocytes OS=Homo sapiens OX=9606 PE=2 SV=1
B4DKT0	3	1.25041544664526	1.25041544664526	0.888670223847097	0.943442919727225	0.322407505475863	0.322407505475863	NA	NA
B4DL02	6	1.06740794566623	1.06740794566623	0.29495631130885	0.541266204897487	0.0941116557405353	0.0941116557405353	NA	B4DL02_HUMAN SHC-transforming protein 1 OS=Homo sapiens OX=9606 PE=2 SV=1
B4DLA9	6	0.996324318645544	0.996324318645544	0.0717274575965032	0.296414186712442	-0.00531265707169761	-0.00531265707169761	NA	NA
B4DLH4	6	1.37826901053996	1.37826901053996	0.420270778409546	0.647380607812855	0.462857500737986	0.462857500737986	NA	NA
B4DLQ1	6	0.910716459631631	0.910716459631631	0.00677838821625038	0.0960044201276983	-0.134926136310076	-0.134926136310076	NA	NA
B4DLR8	7	1.84147804242311	1.84147804242311	0.123399224130036	0.366435500922729	0.880864194806942	0.880864194806942	NQO1 	B4DLR8_HUMAN NAD(P)H dehydrogenase [quinone] 1 OS=Homo sapiens OX=9606 GN=NQO1 PE=1 SV=1
B4DM11	4	1.04491250233824	1.04491250233824	0.283309938981608	0.532370736671078	0.0633821406528418	0.0633821406528418	NA	NA
B4DM74	2	1.10600325862245	1.10600325862245	0.732222265033695	0.852215702543736	0.145355636197867	0.145355636197867	NA	B4DM74_HUMAN 60S ribosomal protein L18a OS=Homo sapiens OX=9606 PE=2 SV=1
B4DMU0	6	1.85908455247725	1.85908455247725	0.0236934285364849	0.175577497489221	0.894592386537994	0.894592386537994	NA	NA
B4DN34	2	1.44766475554376	1.44766475554376	0.727049737918355	0.848774871995877	0.533727547509729	0.533727547509729	NA	NA
B4DN92	3	1.1387663085598	1.1387663085598	0.673580408825632	0.820715467335465	0.187471715375181	0.187471715375181	NA	B4DN92_HUMAN cDNA FLJ58594 OS=Homo sapiens OX=9606 PE=2 SV=1
B4DNJ6	9	0.994706496643783	0.994706496643783	0.013521782399687	0.133135932149951	-0.00765719566420464	-0.00765719566420464	NA	NA
B4DNR3	10	1.11489225659932	1.11489225659932	0.318872098698991	0.565939083406025	0.156904294557665	0.156904294557665	NA	B4DNR3_HUMAN cDNA FLJ52710, highly similar to Abhydrolase domain-containing protein 14B OS=Homo sapiens OX=9606 PE=2 SV=1
B4DP11	9	1.64682187642049	1.64682187642049	0.14442083384004	0.39309041231354	0.719684518693926	0.719684518693926	NA	NA
B4DP27	8	1.24158438638171	1.24158438638171	0.798120875143587	0.891499506969146	0.312182320054468	0.312182320054468	NA	B4DP27_HUMAN cDNA FLJ52153, highly similar to Transmembrane emp24 domain-containing protein 2 OS=Homo sapiens OX=9606 PE=2 SV=1
B4DP31	3	1.03327591582306	1.03327591582306	0.352129252050071	0.594164365975282	0.0472255487214336	0.0472255487214336	PRPSAP1 	B4DP31_HUMAN Phosphoribosyl pyrophosphate synthase-associated protein 1 OS=Homo sapiens OX=9606 GN=PRPSAP1 PE=1 SV=1
B4DPK6	6	0.941672776635441	0.941672776635441	0.0181311570256254	0.154078329032529	-0.0867022723511501	-0.0867022723511501	NA	NA
B4DPL9	4	34.8301035172645	31.6637304702404	0.421909249598918	0.647543508945754	5.12226285559903	4.98475933184909	NA	NA
B4DPP0	9	2.25499295942965	2.25499295942965	0.0319048401055785	0.205718576883835	1.17312292908519	1.17312292908519	NA	B4DPP0_HUMAN cDNA FLJ51032, highly similar to CD9 antigen OS=Homo sapiens OX=9606 PE=2 SV=1
B4DQ51	9	1.04224583866173	1.04224583866173	0.0847608555977677	0.316299763985587	0.0596956119600983	0.0596956119600983	NA	NA
B4DQJ8	7	1.07731394437962	1.07731394437962	0.288999053361172	0.53723173177565	0.107438732703559	0.107438732703559	NA	NA
B4DQV4	2	0.899545727308275	0.899545727308275	0.155547079519288	0.403924758177446	-0.15273147390634	-0.15273147390634	NA	NA
B4DR63	1	1.36966761438623	1.36966761438623	0.319762632221328	0.566749523330971	0.45382582803448	0.45382582803448	NA	NA
